dol_vehicle_id,electric_utility
186115233,PUGET SOUND ENERGY INC
228731709,PUGET SOUND ENERGY INC
228731709,CITY OF TACOMA - (WA)
473622845,PUGET SOUND ENERGY INC
3260603,PUGET SOUND ENERGY INC
3260603,PUD NO 1 OF WHATCOM COUNTY
286581200,PUGET SOUND ENERGY INC
259268453,PUGET SOUND ENERGY INC
269209741,PUGET SOUND ENERGY INC
197295668,PUGET SOUND ENERGY INC
209005877,AVISTA CORP
101939568,PUGET SOUND ENERGY INC
475911243,PUGET SOUND ENERGY INC
475911243,CITY OF TACOMA - (WA)
208526111,PUGET SOUND ENERGY INC
212279511,PUGET SOUND ENERGY INC
7969321,PUGET SOUND ENERGY INC
7969321,PUD NO 1 OF WHATCOM COUNTY
275717389,PUGET SOUND ENERGY INC
233441484,CITY OF SEATTLE - (WA)
233441484,CITY OF TACOMA - (WA)
126857454,PUGET SOUND ENERGY INC
185431116,PUGET SOUND ENERGY INC
260196072,PUGET SOUND ENERGY INC
165686888,PUGET SOUND ENERGY INC
165686888,CITY OF TACOMA - (WA)
170263488,PUGET SOUND ENERGY INC
194435279,PUGET SOUND ENERGY INC
194435279,CITY OF TACOMA - (WA)
274805611,PUGET SOUND ENERGY INC
289391931,PUGET SOUND ENERGY INC
261269550,PUGET SOUND ENERGY INC
128530930,PUGET SOUND ENERGY INC
221894844,PUGET SOUND ENERGY INC
221894844,CITY OF TACOMA - (WA)
268038144,PUGET SOUND ENERGY INC
145481206,PUGET SOUND ENERGY INC
198721162,PUGET SOUND ENERGY INC
251128279,PUGET SOUND ENERGY INC
348256604,PUGET SOUND ENERGY INC
148403762,MODERN ELECTRIC WATER COMPANY
217764207,PUGET SOUND ENERGY INC
272773441,PUGET SOUND ENERGY INC
202322900,PUGET SOUND ENERGY INC
202322900,CITY OF TACOMA - (WA)
129044387,PUGET SOUND ENERGY INC
349225236,PUGET SOUND ENERGY INC
272331608,PUGET SOUND ENERGY INC
214985242,PUGET SOUND ENERGY INC
235040830,PUGET SOUND ENERGY INC
227179494,PUGET SOUND ENERGY INC
245732259,PUGET SOUND ENERGY INC
271113804,PUGET SOUND ENERGY INC
271113804,CITY OF TACOMA - (WA)
277038394,PUGET SOUND ENERGY INC
